Date,Year,Month,Astore,Bunji,Chilas,Dainyour,Gilgit,Hunza,Khunjrab,Ramma,Shigar,Skardu,Ziarat
1997-01,1997,01,9.4,0,0,7.49,0,6.14,7.4,7.14,6.34,4.2,9.88
1997-02,1997,02,4.2,0,0,38.89,0,2.81,38.89,20.56,62.71,10.4,54.7
1997-03,1997,03,90,10,39.8,12.27,12.1,2.61,12.27,50.56,82.68,27.5,41.34
1997-04,1997,04,37.1,10.4,25.1,7.93,2.1,13.29,7.93,21.56,14.56,1.1,13.52
1997-05,1997,05,44.9,13.2,1,19.04,2,24.36,19.04,31.08,15.49,7.7,12.16
1997-06,1997,06,12.6,3.6,2.6,14.47,3.9,13.69,14.47,16.59,6.24,16.8,5.2
1997-07,1997,07,42.5,12,12,14.58,12.5,20.34,14.58,28.79,8.63,7.7,10.03
1997-08,1997,08,106.6,85.7,97.8,15.95,88.1,31.01,15.95,59.07,16.22,61.5,13.1
1997-09,1997,09,10.9,3.6,0,50.76,0.1,65.85,50.76,22.45,20.28,9.4,19.7
1997-10,1997,10,7.7,3.3,3.6,11.33,3.4,18.73,11.33,6.38,1.04,0,4.16
1997-11,1997,11,31.4,1,0,1.82,0.8,4.6,1.82,15.8,11.85,6,5.92
1997-12,1997,12,16.5,2,1,0.79,3.7,0,0.79,9.44,0.72,9.8,1.4
1998-01,1998,01,33.8,13.5,12.6,1.34,6,0.4,1.34,16.9,7.17,77.9,15.49
1998-02,1998,02,87.2,6,24,3.4,8.6,5.63,3.4,44.92,52.52,43.9,31.35
1998-03,1998,03,23.8,1,8,24.81,6.8,4.02,24.81,31.08,69.16,30.8,60.16
1998-04,1998,04,109.9,50.4,85.9,17.84,58.9,25.77,17.84,58.01,2.08,48.7,7.8
1998-05,1998,05,85.5,43.3,53.4,20.14,44.8,34.23,20.14,55.12,4.16,61.8,20.8
1998-06,1998,06,20.7,7.2,7.6,7.81,17.6,11.07,7.81,15.18,4.57,5.6,14.24
1998-07,1998,07,4.6,2,0,3.38,3.1,4.02,3.38,2.87,1.04,1,3.64
1998-08,1998,08,3.3,12.8,1,14.26,7.3,20.94,14.26,7.52,10.5,2.3,27.45
1998-09,1998,09,14.8,21,2,56.72,14.3,40.38,56.72,32.88,32.03,18.9,30.21
1998-10,1998,10,2.7,0,1,1.27,0.5,3.62,1.27,1.45,0,4.9,10.4
1998-11,1998,11,0,0,0,1.03,0,0.6,1.03,1.14,0.41,0,0.2
1998-12,1998,12,0,0,0,6.09,0,3.62,6.09,2.65,59.48,17.9,24.44
1999-01,1999,01,111.1,13,11.8,6.27,1.6,4.22,6.27,60.35,58.1,58.1,58.81
1999-02,1999,02,32.5,13,14.6,15.83,34.5,0,15.83,33.5,41,41,27.5
1999-03,1999,03,88,7,18.8,27.08,6.8,67.46,27.08,47.4,23.1,23.1,23.4
1999-04,1999,04,221.2,59.5,71.6,61.81,89.7,36.25,61.81,155.45,87.3,87.3,56.8
1999-05,1999,05,58,18.4,14,14.08,15.8,8.05,14.08,36.9,35.2,35.2,30.1
1999-06,1999,06,17.4,3,2.2,2.16,3.5,0,2.16,10.45,1.9,1.9,10.95
1999-07,1999,07,29.7,4,18.3,137.92,12,397.76,137.92,20.85,9.9,9.9,3.35
1999-08,1999,08,53,30,20,55.72,18.5,120.43,55.72,34.85,22.9,22.9,15.9
1999-09,1999,09,30.5,8.6,6.2,75.54,11.6,206.4,75.54,20.55,0.7,0.7,7.85
1999-10,1999,10,5.2,0,1,3.38,4.1,6.04,3.38,4.65,0.3,0.3,15.5
1999-11,1999,11,51.9,12,32.5,6.9,8.7,0,6.9,30.3,9.6,9.6,11.2
1999-12,1999,12,0,0,0,0,0,0,0,0,0,0,4.65
2000-01,2000,01,60.8,5.4,14.8,4.1,4.9,2.01,4.1,31.7,58.5,58.5,28.2
2000-02,2000,02,9.8,0,0,0,0,0,0,4.35,6.9,6.9,11.25
2000-03,2000,03,29.7,5,11.1,5.59,1.7,10.07,5.59,15.7,8.5,8.5,6.35
2000-04,2000,04,41.6,7,22,69.87,13.3,189.31,69.87,21.45,11.1,11.1,4.95
2000-05,2000,05,17.3,5,9.3,28.55,0.7,79.95,28.55,9,6.7,6.7,3
2000-06,2000,06,23.1,31,10.7,18.64,18.7,6.24,18.64,20.6,11.3,11.3,6.75
2000-07,2000,07,33.7,39.4,5,45.77,22.4,75.52,45.75,27.5,21,21,10.75
2000-08,2000,08,11.3,29.7,11,22.48,16.6,21.14,22.48,13.45,19.6,19.6,14.3
2000-09,2000,09,10.9,14.1,4,14.8,12.9,17.42,14.8,6.45,8,8,11.55
2000-10,2000,10,13.8,1.6,0,4.95,2,11.27,4.95,8.15,0,0,1.75
2000-11,2000,11,9.9,0,0,0,0,0,0,0,0,0,8.85
2000-12,2000,12,19.6,0.9,0.2,5.79,4,12.48,5.79,11.5,32.5,32.5,47.25
2001-01,2001,01,0.2,0,0,8.15,0,24.47,8.15,0.1,0,0,5.2
2001-02,2001,02,3.4,0,0,4.39,0.5,12.68,4.39,1.95,2.2,4.2,1.1
2001-03,2001,03,56.4,7.1,15.8,8.47,12.9,5.43,8.47,34.65,6.4,6.4,6.95
2001-04,2001,04,52,7.4,15,13.31,6.2,22.75,13.31,29.1,0.2,3.3,1.25
2001-05,2001,05,7.8,3.6,9,9.25,1.8,22.35,9.25,4.8,3.8,3.8,2
2001-06,2001,06,14.3,10.6,2,16.91,20.6,19.53,16.91,17.45,13.1,13.1,6.55
2001-07,2001,07,26,6,15,7.6,12.7,4.12,7.6,19.35,12,12,21.8
2001-08,2001,08,17.4,7.7,12.6,11.05,14,11.47,11.05,15.7,9,9,8.75
2001-09,2001,09,36.4,9.3,7,7.46,1.3,11.78,7.46,18.85,10.5,10.5,6.7
2001-10,2001,10,45.5,3.6,0,3.54,0.6,6.44,3.54,23.05,8.3,8.3,4.15
2001-11,2001,11,68.9,13.8,30.6,9.6,15,0,9.6,41.95,12.3,12.3,9.9
2001-12,2001,12,53.5,5.2,0,5.52,2.4,8.96,5.52,27.95,32.7,32.7,17.6
2002-01,2002,01,29.3,0,7,1.65,0.5,4.45,1.65,15.3,3.2,4,1.6
2002-02,2002,02,63.6,11.3,19.2,6.86,9.3,0,6.86,36.45,20.5,20.7,20.2
2002-03,2002,03,48.7,15.7,17.8,29.87,2.9,71.02,29.87,25.8,13.9,24.6,18
2002-04,2002,04,162.3,30.6,51.6,32.98,31.2,38.16,32.98,95.4,45.2,36.2,70.85
2002-05,2002,05,16.8,19.8,14.5,12.56,9.4,8.48,12.56,13.1,8.4,8.4,13.05
2002-06,2002,06,38.5,24.6,27.5,67.58,18,160.06,67.58,28.3,14,15.8,27.05
2002-07,2002,07,19.9,7,0,94.01,16.4,258.64,94.01,18.15,5.1,5.1,14.9
2002-08,2002,08,15.4,35.5,10,61.02,20.8,126.77,61.02,18.1,18.3,18.3,30.05
2002-09,2002,09,15.5,9.6,2.3,78.98,3.7,223.66,78.98,9.6,5,5,31.8
2002-10,2002,10,3.2,0,0,0,0,0,0,1.6,0,0,2.8
2002-11,2002,11,0,0,0,0,0,0,0,0,0,0,0
2002-12,2002,12,3,0,0.2,0.06,0.2,0,0.06,1.6,2.3,2.3,1.15
2003-01,2003,01,2,0,0,0.7,0,2.12,0.7,1,0,0,0
2003-02,2003,02,63.7,47.2,78.1,26.86,33.4,0,26.86,48.55,22.6,22.6,28.35
2003-03,2003,03,35.3,28.3,35.4,19.13,18.5,10.6,19.13,26.9,38.4,38.4,42.35
2003-04,2003,04,111.6,25.9,39,82.99,23.8,199.28,82.99,67.7,46.3,46.3,58.65
2003-05,2003,05,121.2,118.4,121.9,96.58,87.2,84.16,96.58,104.2,101,101,100.2
2003-06,2003,06,14.7,8.5,5,7.32,6.9,6.57,7.32,10.8,2.8,2.8,1.4
2003-07,2003,07,23.3,8.5,0,34.46,15.4,79.5,34.46,19.35,6.4,6.4,14.35
2003-08,2003,08,28.7,21,5.3,17.55,9.4,22.26,17.53,19.05,12.1,12.1,37.55
2003-09,2003,09,80.6,67.4,19.3,29.81,17.6,18.33,29.81,42.15,22.7,22.7,42.7
2003-10,2003,10,17.6,4.9,11,8.32,8.4,11.87,8.32,13.9,2,2,18.3
2003-11,2003,11,12.5,0,1,0,0.3,0,0,6.25,0,0,0
2003-12,2003,12,78.5,9.3,26.8,9.04,4.7,13.41,9.04,41.6,8.3,8.3,1.3
2004-01,2004,01,95.4,7.1,1,11.06,0.4,25.75,11.08,0.2,19.1,19.1,31.6
2004-02,2004,02,48.5,4.5,18.6,5.95,6.9,13.35,5.95,24.25,18.6,18.6,17.3
2004-03,2004,03,33.1,7.1,13.9,6.69,6,6.99,6.69,19.55,17.5,17.5,25.7
2004-04,2004,04,135.9,65.6,64.3,44.49,45.2,22.68,44.49,90.55,28.9,28.9,70.7
